Station_ID,Station_Name,Sample_Date,Parameter_Code,Value_Flag,Value,Unit,Data_Quality
SRB00003,Zemun,2020-09-16,TP,,0.18,mg/l,Fair
SRB00003,Zemun,2020-10-21,TP,,0.166,mg/l,Fair
SRB00003,Zemun,2020-11-18,TP,,0.149,mg/l,Fair
SRB00003,Zemun,2021-03-17,TP,,0.08,mg/l,Fair
SRB00003,Zemun,2021-04-21,TP,,0.065,mg/l,Fair
SRB00003,Zemun,2021-06-16,TP,,0.082,mg/l,Fair
SRB00003,Zemun,2021-08-25,TP,,0.102,mg/l,Fair
SRB00003,Zemun,2021-09-22,TP,,0.26,mg/l,Fair
SRB00003,Zemun,2021-10-20,TP,,0.184,mg/l,Fair
SRB00003,Zemun,2022-03-16,TP,,0.266,mg/l,Fair
SRB00003,Zemun,2022-04-20,TP,,0.212,mg/l,Fair
SRB00003,Zemun,2022-05-18,TP,,0.147,mg/l,Fair
SRB00003,Zemun,2022-06-15,TP,,0.108,mg/l,Fair
SRB00003,Zemun,2022-07-20,TP,,0.116,mg/l,Fair
SRB00003,Zemun,2022-08-17,TP,,0.092,mg/l,Fair
SRB00003,Zemun,2022-09-21,TP,,0.221,mg/l,Fair
SRB00003,Zemun,2022-10-19,TP,,0.081,mg/l,Fair
SRB00003,Zemun,2022-11-17,TP,,0.153,mg/l,Fair
SRB00003,Zemun,2022-12-21,TP,,0.221,mg/l,Fair
SRB00003,Zemun,2023-01-18,TP,,0.137,mg/l,Fair
SRB00003,Zemun,2023-02-14,TP,,0.218,mg/l,Fair
SRB00003,Zemun,2023-03-15,TP,,0.101,mg/l,Fair
SRB00003,Zemun,2023-04-19,TP,,0.166,mg/l,Fair
SRB00003,Zemun,2023-05-17,TP,,0.136,mg/l,Fair
SRB00003,Zemun,2023-06-21,TP,,0.117,mg/l,Fair
SRB00003,Zemun,2023-07-19,TP,,0.134,mg/l,Fair
SRB00003,Zemun,2023-08-16,TP,,0.327,mg/l,Fair
SRB00003,Zemun,2023-09-20,TP,,0.107,mg/l,Fair
