Station_ID,Station_Name,Date,river_discharge_m3s
SRB00001,Bezdan,2014-06-30,2836.92
SRB00001,Bezdan,2014-07-01,2830.39
SRB00001,Bezdan,2014-07-02,2889.68
SRB00001,Bezdan,2014-07-03,3139.51
SRB00001,Bezdan,2014-07-04,3629.78
SRB00001,Bezdan,2014-07-05,3916.42
SRB00001,Bezdan,2014-07-06,3916.42
SRB00001,Bezdan,2014-07-07,3836.07
SRB00001,Bezdan,2014-07-08,3705.81
SRB00001,Bezdan,2014-07-09,3555.31
SRB00001,Bezdan,2014-07-10,3458.39
SRB00001,Bezdan,2014-07-11,3450.44
SRB00001,Bezdan,2014-07-12,3596.49
SRB00001,Bezdan,2014-07-13,3818.44
SRB00001,Bezdan,2014-07-14,3871.58
SRB00001,Bezdan,2014-07-15,3774.72
SRB00001,Bezdan,2014-07-16,3680.29
SRB00001,Bezdan,2014-07-17,3613.1
SRB00001,Bezdan,2014-07-18,3547.13
SRB00001,Bezdan,2014-07-19,3458.39
SRB00001,Bezdan,2014-07-20,3340.95
SRB00001,Bezdan,2014-07-21,3205.27
SRB00001,Bezdan,2014-07-22,3053.92
SRB00001,Bezdan,2014-07-23,2923.15
SRB00001,Bezdan,2014-07-24,2950.21
SRB00001,Bezdan,2014-07-25,3498.45
SRB00001,Bezdan,2014-07-26,4304.27
SRB00001,Bezdan,2014-07-27,4517.56
SRB00001,Bezdan,2014-07-28,4374.22
SRB00001,Bezdan,2014-07-29,4158.11
SRB00001,Bezdan,2014-07-30,4016.91
SRB00001,Bezdan,2014-07-31,4016.91
SRB00001,Bezdan,2014-08-01,4186.94
