Date,station_id,name,Satellite,Blue,Green,Red,NIR,SWIR1,SWIR2,RedEdge1,RedEdge2,RedEdge3,station_name
2019-04-02,5378500,Winona,Sentinel-2,0.0734,0.0771,0.0938,0.1418,0.197,0.17,0.1062,0.1232,0.1295,winona
2019-04-03,5331580,Hastings,Landsat-8,0.0518724999999999,0.0704624999999999,0.0827,0.1618175,0.1987225,0.1483975,,,,hastings
2019-04-03,5331000,St_Paul,Landsat-8,0.0728274999999999,0.0870175,0.102665,0.1625875,0.2002074999999999,0.1598925,,,,stpaul
2019-04-03,5344500,Prescott,Landsat-8,0.0793725,0.114985,0.15277,0.1932775,0.2378825,0.213325,,,,prescott
2019-04-03,5378500,Winona,Landsat-8,0.0443375,0.066365,0.082755,0.1362975,0.1621475,0.1386899999999999,,,,winona
2019-04-19,5331580,Hastings,Landsat-8,0.048655,0.0716175,0.0799225,0.2051575,0.1989975,0.1443275,,,,hastings
2019-04-19,5331000,St_Paul,Landsat-8,0.0751375,0.0933425,0.1007675,0.17114,0.193635,0.156675,,,,stpaul
2019-04-19,5344500,Prescott,Landsat-8,0.07038,0.1195775,0.1390475,0.2145075,0.2515775,0.2076325,,,,prescott
2019-04-19,5378500,Winona,Landsat-8,0.043155,0.07423,0.0895475,0.1540625,0.18885,0.1576374999999999,,,,winona
2019-04-20,5288500,Brooklyn_Park,Sentinel-2,0.0494,0.0664,0.0774,0.1607,0.2267,0.1657,0.1088,0.1374,0.1534,brooklynpark
2019-04-20,5331580,Hastings,Sentinel-2,0.052,0.0664,0.0794,0.1408,0.1916,0.1427,0.1098,0.1499,0.1462,hastings
2019-04-20,5344500,Prescott,Sentinel-2,0.0819,0.1012,0.1216,0.17,0.2312,0.1876,0.1456,0.1638,0.1713,prescott
2019-04-20,5331000,St_Paul,Sentinel-2,0.0733,0.086,0.0964,0.1258,0.1899,0.149,0.1433,0.1633,0.1688,stpaul
2019-04-20,5288500,Brooklyn_Park,Sentinel-2,0.051,0.0665,0.0776,0.1606,0.227,0.1657,0.1089,0.1374,0.1537,brooklynpark
2019-04-26,5331580,Hastings,Landsat-8,0.04508,0.0639175,0.0671625,0.180545,0.17136,0.1218325,,,,hastings
2019-04-26,5331000,St_Paul,Landsat-8,0.0641649999999999,0.0808025,0.0902625,0.155245,0.1598925,0.119935,,,,stpaul
2019-04-26,5344500,Prescott,Landsat-8,0.0788774999999999,0.126535,0.1476825,0.216185,0.2476175,0.215745,,,,prescott
2019-05-05,5331580,Hastings,Landsat-8,0.0451624999999999,0.0697475,0.0666399999999999,0.2264425,0.1777675,0.1207874999999999,,,,hastings
2019-05-05,5344500,Prescott,Landsat-8,0.08138,0.132915,0.1507075,0.2435475,0.255565,0.2165699999999999,,,,prescott
2019-05-05,5378500,Winona,Landsat-8,0.1174049999999999,0.2173125,0.2219324999999999,0.3193649999999999,0.31722,0.261615,,,,winona
2019-05-05,5331580,Hastings,Sentinel-2,0.056,0.0696,0.072,0.1622,0.1778,0.1355,0.1137,0.1794,0.1865,hastings
2019-05-05,5344500,Prescott,Sentinel-2,0.0946,0.1182,0.1252,0.2036,0.221,0.1916,0.1437,0.1834,0.209,prescott
2019-05-07,5288500,Brooklyn_Park,Sentinel-2,0.0451,0.0728,0.0742,0.2482,0.2114,0.1367,0.1308,0.2088,0.2183,brooklynpark
