date,water_temp_f,water_temp_c
2022-04-29,47.0,8.333333333333334
2022-04-30,48.0,8.88888888888889
2022-05-01,48.0,8.88888888888889
2022-05-02,47.0,8.333333333333334
2022-05-03,49.0,9.444444444444445
2022-05-04,49.0,9.444444444444445
2022-05-05,50.0,10.0
2022-05-06,51.0,10.555555555555555
2022-05-07,53.0,11.666666666666666
2022-05-08,55.0,12.777777777777779
2022-05-09,56.0,13.333333333333334
2022-05-10,58.0,14.444444444444445
2022-05-11,60.0,15.555555555555555
2022-05-12,62.0,16.666666666666668
2022-05-13,64.0,17.77777777777778
2022-05-14,64.0,17.77777777777778
2022-05-15,64.0,17.77777777777778
2022-05-16,63.0,17.22222222222222
2022-05-17,61.0,16.11111111111111
2022-05-18,64.0,17.77777777777778
2022-05-19,64.0,17.77777777777778
2022-05-20,64.0,17.77777777777778
2022-05-21,62.0,16.666666666666668
2022-05-22,61.0,16.11111111111111
2022-05-23,61.0,16.11111111111111
2022-05-24,21.0,-6.111111111111111
2022-05-25,61.0,16.11111111111111
2022-05-26,60.0,15.555555555555555
2022-05-27,59.0,15.0
2022-06-10,69.0,20.555555555555557
2022-06-11,70.0,21.11111111111111
2022-06-12,70.0,21.11111111111111
2022-06-13,71.0,21.666666666666668
2022-06-14,71.0,21.666666666666668
2022-06-15,74.0,23.333333333333332
2022-06-16,72.0,22.22222222222222
2022-06-17,73.0,22.77777777777778
2022-06-18,73.0,22.77777777777778
2022-06-19,73.0,22.77777777777778
2022-06-20,75.0,23.88888888888889
2022-06-21,77.0,25.0
2022-06-22,77.0,25.0
2022-06-23,78.0,25.555555555555557
2022-06-24,78.0,25.555555555555557
2022-06-26,75.0,23.88888888888889
2022-06-27,74.0,23.333333333333332
2022-06-28,75.0,23.88888888888889
2022-06-29,74.0,23.333333333333332
2022-06-30,74.0,23.333333333333332
2022-07-01,75.0,23.88888888888889
2022-07-06,76.0,24.444444444444443
2022-07-07,77.0,25.0
2022-07-08,77.0,25.0
2022-07-11,78.0,25.555555555555557
2022-07-12,75.0,23.88888888888889
2022-07-15,78.0,25.555555555555557
2022-07-16,79.0,26.11111111111111
2022-07-17,79.0,26.11111111111111
2022-07-18,80.0,26.666666666666668
2022-07-19,81.0,27.22222222222222
2022-07-23,81.0,27.22222222222222
2022-07-25,75.0,23.88888888888889
2022-08-03,78.0,25.555555555555557
2022-08-04,78.0,25.555555555555557
2022-08-08,76.0,24.444444444444443
2022-08-20,74.0,23.333333333333332
2022-08-22,77.0,25.0
2022-08-23,77.0,25.0
2022-08-24,77.0,25.0
2022-08-25,77.0,25.0
2022-08-26,76.0,24.444444444444443
2022-08-27,77.0,25.0
2022-08-28,75.0,23.88888888888889
2022-08-29,75.0,23.88888888888889
2022-08-30,74.0,23.333333333333332
2022-08-31,74.0,23.333333333333332
2022-09-01,76.0,24.444444444444443
2022-09-02,78.0,25.555555555555557
2022-09-04,74.0,23.333333333333332
2022-09-05,74.0,23.333333333333332
2022-09-06,74.0,23.333333333333332
2022-09-07,76.0,24.444444444444443
2022-09-08,77.0,25.0
2022-09-09,76.0,24.444444444444443
2022-09-10,73.0,22.77777777777778
2022-09-27,62.0,16.666666666666668
2022-09-28,62.0,16.666666666666668
2022-09-29,61.0,16.11111111111111
2022-09-30,61.0,16.11111111111111
